timestamp,pm1_cf,pm25_cf,pm10_cf,pm1,pm25,pm10
2021-07-20 18:55:28.893610,4,4,5,4,4,5
2021-07-20 18:56:31.182669,3,4,4,3,4,4
2021-07-20 18:57:31.426242,5,7,7,5,7,7
2021-07-20 18:58:31.809913,5,6,6,5,6,6
2021-07-20 18:59:32.192232,4,7,7,4,7,7
2021-07-20 19:00:32.642136,5,6,6,5,6,6
2021-07-27 18:27:35.177890,3,7,7,3,7,7
2021-07-27 18:28:35.567011,4,6,6,4,6,6
2021-07-27 18:29:35.952481,3,5,6,3,5,6
2021-07-27 18:30:36.406990,5,6,7,5,6,7
2021-07-27 18:31:36.785880,5,7,7,5,7,7
2021-07-27 18:32:37.165436,4,6,6,4,6,6
2021-07-27 18:33:37.617864,4,6,6,4,6,6
2021-07-27 18:34:37.995031,5,7,8,5,7,8
2021-07-27 18:35:38.374992,4,6,7,4,6,7
2021-07-27 18:36:38.824479,4,6,6,4,6,6
2021-07-27 18:37:39.201490,3,5,5,3,5,5
2021-07-27 18:38:39.575244,5,7,7,5,7,7
2021-07-27 18:39:40.021131,4,5,5,4,5,5
2021-07-27 18:40:40.395909,4,7,7,4,7,7
2021-07-27 18:41:40.771193,3,6,7,3,6,7
2021-07-27 18:42:41.216879,4,7,7,4,7,7
2021-07-27 18:43:41.592067,4,7,7,4,7,7
2021-07-27 18:44:41.966611,5,7,7,5,7,7
2021-07-27 18:45:42.410718,4,6,7,4,6,7
2021-07-27 18:46:42.787424,4,7,8,4,7,8
2021-07-27 18:47:43.159227,4,6,8,4,6,8
2021-07-27 18:48:43.603760,4,6,7,4,6,7
2021-08-04 00:30:09.329367,6,10,10,6,10,10
2021-08-04 00:31:09.734887,6,9,10,6,9,10
2021-08-04 00:32:10.634630,6,10,11,6,10,11
2021-08-04 00:33:10.969611,7,9,9,7,9,9
2021-08-04 00:34:11.376448,7,10,11,7,10,11
2021-08-04 00:35:11.713271,7,11,11,7,11,11
2021-08-04 00:36:12.047217,5,8,8,5,8,8
2021-08-04 00:37:12.452014,5,7,7,5,7,7
2021-08-04 00:38:12.789223,4,6,6,4,6,6
2021-08-04 00:39:13.124457,7,9,10,7,9,10
2021-08-04 00:40:13.529783,5,7,8,5,7,8
2021-08-04 00:41:13.863886,6,9,9,6,9,9
2021-08-04 00:42:14.197985,4,8,8,4,8,8
2021-08-04 00:43:14.603674,6,8,8,6,8,8
2021-08-04 00:44:14.939365,5,8,9,5,8,9
2021-08-04 00:45:15.275524,6,10,10,6,10,10
2021-08-04 00:46:15.680215,5,7,8,5,7,8
2021-08-04 00:47:16.016317,5,9,9,5,9,9
2021-08-04 00:48:16.349644,5,6,7,5,6,7
2021-08-04 00:49:16.751860,5,7,7,5,7,7
2021-08-04 00:50:17.083200,5,7,7,5,7,7
2021-08-04 00:51:17.416464,5,7,8,5,7,8
2021-08-04 00:52:17.819280,5,8,8,5,8,8
2021-08-04 00:54:19.396528,4,6,7,4,6,7
2021-08-04 00:55:19.728617,3,8,9,3,8,9
2021-08-04 00:56:20.061598,4,6,6,4,6,6
2021-08-04 00:57:20.464843,4,7,8,4,7,8
